query_clusters,predicted_cell_types,value,pair,ref,test
0,0,567,AxC,A,C
1,0,11,AxC,A,C
2,0,43,AxC,A,C
3,0,10,AxC,A,C
4,0,11,AxC,A,C
5,0,0,AxC,A,C
6,0,2,AxC,A,C
7,0,6,AxC,A,C
0,1,41,AxC,A,C
1,1,4,AxC,A,C
2,1,18,AxC,A,C
3,1,1,AxC,A,C
4,1,128,AxC,A,C
5,1,1,AxC,A,C
6,1,0,AxC,A,C
7,1,3,AxC,A,C
0,2,13,AxC,A,C
1,2,49,AxC,A,C
2,2,391,AxC,A,C
3,2,32,AxC,A,C
4,2,3,AxC,A,C
5,2,0,AxC,A,C
6,2,0,AxC,A,C
7,2,12,AxC,A,C
0,3,0,AxC,A,C
1,3,0,AxC,A,C
2,3,1,AxC,A,C
3,3,0,AxC,A,C
4,3,0,AxC,A,C
5,3,0,AxC,A,C
6,3,0,AxC,A,C
7,3,7,AxC,A,C
0,4,162,AxC,A,C
1,4,488,AxC,A,C
2,4,64,AxC,A,C
3,4,9,AxC,A,C
4,4,13,AxC,A,C
5,4,0,AxC,A,C
6,4,1,AxC,A,C
7,4,0,AxC,A,C
0,5,0,AxC,A,C
1,5,0,AxC,A,C
2,5,0,AxC,A,C
3,5,1,AxC,A,C
4,5,0,AxC,A,C
5,5,0,AxC,A,C
6,5,0,AxC,A,C
7,5,0,AxC,A,C
0,6,2,AxC,A,C
1,6,0,AxC,A,C
2,6,13,AxC,A,C
3,6,278,AxC,A,C
4,6,9,AxC,A,C
5,6,66,AxC,A,C
6,6,9,AxC,A,C
7,6,5,AxC,A,C
0,7,99,AxC,A,C
1,7,8,AxC,A,C
2,7,15,AxC,A,C
3,7,0,AxC,A,C
4,7,36,AxC,A,C
5,7,0,AxC,A,C
6,7,0,AxC,A,C
7,7,3,AxC,A,C
0,8,17,AxC,A,C
1,8,0,AxC,A,C
2,8,0,AxC,A,C
3,8,2,AxC,A,C
4,8,11,AxC,A,C
5,8,0,AxC,A,C
6,8,0,AxC,A,C
7,8,0,AxC,A,C
0,9,1,AxC,A,C
1,9,0,AxC,A,C
2,9,0,AxC,A,C
3,9,2,AxC,A,C
4,9,11,AxC,A,C
5,9,3,AxC,A,C
6,9,47,AxC,A,C
7,9,0,AxC,A,C
